iatiidentifier,donor,x1_donor_type,modality,recipient_main,complete_flag,y1_gap_full,y2_early_days,commitment_usd_full,s1_share,s2_hhi_net,s3_n_donors,n_years_obs,withheld
XM-DAC-6-4-008465-03-0,AICS - Italian Agency for Cooperation and Development,Bilateral,A01_general,MZ,1,0,-4809,3708969.9463979998,0.05112351714938125,0.5408855920976284,4.333333333333333,1,0
XM-DAC-6-4-010997-03-3,AICS - Italian Agency for Cooperation and Development,Bilateral,A02_sector,MZ,1,0,-1899,341820,0.1348403012112799,0.748501304408189,2,1,0
XM-DAC-6-4-011097-01-5,AICS - Italian Agency for Cooperation and Development,Bilateral,A02_sector,MZ,1,0,-741,3418200,0.563067822483202,0.47354674600665947,1.6666666666666667,1,0
XM-DAC-6-4-010049-01-2,AICS - Italian Agency for Cooperation and Development,Bilateral,A02_sector,MZ,1,0,NA,3418200,0.015684696856776384,0.4336371166917849,5,1,0
XM-DAC-6-4-009696-03-5,AICS - Italian Agency for Cooperation and Development,Bilateral,A02_sector,SV,1,-6.315384615374064e-5,-2313,148122,0.5000000233861839,0.9999999064552665,1.5,1,0
XM-DAC-6-4-010497-01-2,AICS - Italian Agency for Cooperation and Development,Bilateral,A01_general,SV,1,0,-564,187431.3,1,NA,1,1,0
XM-DAC-6-4-012586-01-0,AICS - Italian Agency for Cooperation and Development,Bilateral,A01_general,UA,1,0,270,125334000,0.20729618291354457,0.6283793416234366,2,1,0
XM-DAC-6-4-010408-01-6,AICS - Italian Agency for Cooperation and Development,Bilateral,A02_sector,VN,1,-4.440892098500626e-16,-2677,32117.635079999993,3.0754226526653406e-4,0.7407807788326268,4,1,0
XM-DAC-6-4-010519-02-5,AICS - Italian Agency for Cooperation and Development,Bilateral,A02_sector,VN,1,0,-1825,5980.904298,3.892163786096485e-4,0.8152318062650749,4.333333333333333,1,0
XM-DAC-6-4-010607-01-5,AICS - Italian Agency for Cooperation and Development,Bilateral,A02_sector,TN,1,0,NA,2256012,0.0056194582530632855,0.9875234473799339,3,1,0
XM-DAC-6-4-010744-01-6,AICS - Italian Agency for Cooperation and Development,Bilateral,A02_sector,TN,1,0,NA,5540913.5940000005,0.040554221291537226,0.9205362022814884,2,1,0
GB-1-103985-101,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A02_sector,MZ,1,0.17474252912375488,59,39196933.25,0.19766717188323915,0.23879253813302317,7,1,0
GB-1-103986-101,"UK - Foreign, Commonwealth Development Office (FCDO)",Bilateral,A01_general,MZ,1,0.3180724672493117,-578,358159247.75,0.19766717188323915,0.23879253813302317,7,1,1
