iatiidentifier,donor_ref,donor,org_type,x1_donor_type,a01,a02,modality,declared_activity,declared_transaction,status_code,status_name,title
46002-P-KM-K00-014,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,2,Implementation,"EN: Comoros – Financial Governance and Energy Sector Support Program (FGESSP) Phase II, FR: Comores - Programme d'Appui à la Gouvernance Financière et au Secteur de l'Énergie (PAGFSE) Phase II"
46002-P-LR-AA0-013,XM-DAC-46002,African Development Bank,40,Multilateral,1,1,both,0,1,2,Implementation,"EN: Liberia - Emergency Food Production Program, FR: Liberia - Programme de production alimentaire d'urgence"
46002-P-LR-K00-020,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Liberia - Multi-country Covid-19 crisis response support programme (Liberia, Gambia and Sierra Leone), FR: Libéria - Programme d’appui multi-pays pour la riposte à la pandémie de maladie à coronavirus 2019 (Liberia, Gambie et Sierra Leone)"
46002-P-LR-K00-023,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,1,Pipeline/identification,"EN: Liberia - Fiscal Sustainability And Mining Sector Governance Support Programme (FSMSG-SP), FR: Libéria - Programme d’appui à la viabilité budgétaire et à la gouvernance du secteur minier (FSMSG-SP)"
46002-P-LR-KA0-004,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Liberia - Economic Governance and Competitiveness Support Program II (EGCSP II), FR: Liberia - Deuxième Phase du Programme d'appui à la gouvernance économique et à la compétitivité (EGCSP II)"
46002-P-LS-KA0-001,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Lesotho - Poverty Reduction Support Programme (PRSP), FR: Lesotho - Programme d’appui à la réduction de la pauvreté (PARP)
"
46002-P-LS-KE0-001,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,"EN: Lesotho - Public Utilities Sector Reform Programme, FR: Lesotho - Programme de Réforme du Secteur des Équipements Collectifs"
46002-P-MA-A00-002,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Morocco - Green Morocco Plan Support Programme, FR: Maroc - Programme d’appui au Plan Maroc vert"
46002-P-MA-A00-003,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,"EN: Morocco - Green Morocco Plan Support Programme - Phase 2, FR: Maroc - Programme d’appui au Plan Maroc vert - Phase 2"
46002-P-MA-AA0-003,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,"EN: Morocco - Inclusive and Sustainable Development Support Program for Agricultural Sectors (PADIDFA), FR: Maroc - Programme d’appui au développement inclusif et durable des filières agricoles (PADIDFA)"
46002-P-MA-AA0-011,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,2,Implementation,"EN: Morocco - Inclusive and Sustainable Development Project for Agricultural and Rural Areas (PADIDZAR), FR: Maroc - Projet de développement inclusif et durable des zones agricoles et rurales (PADIDZAR)"
46002-P-MA-AA0-023,XM-DAC-46002,African Development Bank,40,Multilateral,1,0,A01_general,0,1,3,Finalisation,"EN: Morocco - Support Programme for Competitive and Resilient Development of Cereal Farming, FR: Maroc - Programme d'appui au développement compétitif et résilient de la céréaliculture"
46002-P-MA-AA0-024,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,2,Implementation,"EN: Morocco -  Solidarity Agriculture Support Project, FR: Maroc - Projet d’appui à l’agriculture solidaire - FAR"
46002-P-MA-DZ0-002,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,"EN: APPUI BUDGETAIRE-REFORME TRANSPORT(PAST), FR: Programme de réforme du secteur des transports (PAST)"
46002-P-MA-E00-004,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,"EN: Morocco - Water Sector Adjustment Programme, FR: Maroc - Programme d'Ajustement Structurel du Secteur de l'Eau"
46002-P-MA-GB0-002,XM-DAC-46002,African Development Bank,40,Multilateral,0,1,A02_sector,0,1,3,Finalisation,"EN: Morocco - Post, Telecommunications and Information Technologies Sector Adjustment Programme (PASPT&I), FR: Maroc - Programme d'Ajustement du Secteur de la Poste, des Télécommunications et des Technologies de l’Information (PASPT&I)"
