child_id,parent_id
XI-IATI-EC_INTPA-2026-PC-36509,XI-IATI-EC_INTPA-2023-ACT-61233
XI-IATI-EC_INTPA-2023-PC-26364,XI-IATI-EC_INTPA-2022-ACT-61423
XI-IATI-EC_INTPA-2025-PC-59817,XI-IATI-EC_INTPA-2023-ACT-61233
XI-IATI-EC_INTPA-2024-PC-26389,XI-IATI-EC_INTPA-2022-ACT-61423
XI-IATI-EC_INTPA-2025-PC-72780,XI-IATI-EC_INTPA-2021-ACT-62771
XI-IATI-EC_INTPA-2026-PC-64428,XI-IATI-EC_INTPA-2021-ACT-62771
XI-IATI-EC_INTPA-2025-PC-36473,XI-IATI-EC_INTPA-2023-ACT-61233
XI-IATI-EC_INTPA-2024-PC-36429,XI-IATI-EC_INTPA-2023-ACT-61233
XI-IATI-EC_INTPA-2026-PC-75396,XI-IATI-EC_INTPA-2021-ACT-62771
XI-IATI-EC_INTPA-2026-PC-86752,XI-IATI-EC_INTPA-2023-ACT-61233
XI-IATI-EC_INTPA-2021-PCC-421490,XI-IATI-EC_INTPA-2020-ACT-D-40138-00
XI-IATI-EC_INTPA-2021-PC-4857,XI-IATI-EC_INTPA-2019-ACT-D-38918-00
XI-IATI-EC_INTPA-2024-PC-44598,XI-IATI-EC_INTPA-2021-ACT-61121
XI-IATI-EC_INTPA-2021-PCC-425265,XI-IATI-EC_INTPA-2020-ACT-D-40138-00
XI-IATI-EC_INTPA-2023-PC-24213,XI-IATI-EC_INTPA-2022-ACT-61446
XI-IATI-EC_INTPA-2023-PC-26483,XI-IATI-EC_INTPA-2021-ACT-61121
XI-IATI-EC_INTPA-2023-PC-25713,XI-IATI-EC_INTPA-2021-ACT-61472
XI-IATI-EC_INTPA-2020-PCC-420650,XI-IATI-EC_INTPA-2020-ACT-D-40138-00
XI-IATI-EC_INTPA-2024-PC-35983,XI-IATI-EC_INTPA-2024-ACT-62209
XI-IATI-EC_INTPA-2023-PC-34444,XI-IATI-EC_INTPA-2021-ACT-61121
XI-IATI-EC_INTPA-2023-PC-32264,XI-IATI-EC_INTPA-2021-ACT-61472
XI-IATI-EC_INTPA-2023-PC-25701,XI-IATI-EC_INTPA-2021-ACT-61472
XI-IATI-EC_INTPA-2025-PC-72129,XI-IATI-EC_INTPA-2021-ACT-61121
XI-IATI-EC_INTPA-2023-PC-26647,XI-IATI-EC_INTPA-2021-ACT-61121
XI-IATI-EC_INTPA-2025-PC-70474,XI-IATI-EC_INTPA-2021-ACT-61121
XI-IATI-EC_INTPA-2023-PC-29463,XI-IATI-EC_INTPA-2021-ACT-61121
XI-IATI-EC_INTPA-2023-PC-30645,XI-IATI-EC_INTPA-2021-ACT-61121
XI-IATI-EC_INTPA-2023-PC-25850,XI-IATI-EC_INTPA-2021-ACT-61121
XI-IATI-EC_INTPA-2021-PCC-429957,XI-IATI-EC_INTPA-2018-ACT-D-40929-00
XI-IATI-EC_INTPA-2022-PCC-435740,XI-IATI-EC_INTPA-2020-ACT-D-42950-01
XI-IATI-EC_INTPA-2026-PC-77058,XI-IATI-EC_INTPA-2021-ACT-63091
XI-IATI-EC_INTPA-2026-PC-37759,XI-IATI-EC_INTPA-2022-ACT-60909
XI-IATI-EC_INTPA-2025-PC-37761,XI-IATI-EC_INTPA-2022-ACT-60909
XI-IATI-EC_INTPA-2022-PC-18559,XI-IATI-EC_INTPA-2021-ACT-61104
XI-IATI-EC_INTPA-2026-PC-77059,XI-IATI-EC_INTPA-2021-ACT-63091
XI-IATI-EC_INTPA-2023-PC-22049,XI-IATI-EC_INTPA-2021-ACT-61104
XI-IATI-EC_INTPA-2023-PC-27905,XI-IATI-EC_INTPA-2022-ACT-60909
XI-IATI-EC_INTPA-2026-PC-53819,XI-IATI-EC_INTPA-2021-ACT-63055
XI-IATI-EC_INTPA-2023-PC-30817,XI-IATI-EC_INTPA-2022-ACT-61496
XI-IATI-EC_INTPA-2023-PC-32172,XI-IATI-EC_INTPA-2023-ACT-61862
XI-IATI-EC_INTPA-2023-PC-26198,XI-IATI-EC_INTPA-2022-ACT-61496
XI-IATI-EC_INTPA-2020-PCC-416008,XI-IATI-EC_INTPA-2016-ACT-D-37486-02
XI-IATI-EC_INTPA-2026-PC-85210,XI-IATI-EC_INTPA-2022-ACT-61240
XI-IATI-EC_INTPA-2023-PC-27699,XI-IATI-EC_INTPA-2016-ACT-D-37486-02
XI-IATI-EC_INTPA-2023-PC-32142,XI-IATI-EC_INTPA-2022-ACT-61240
XI-IATI-EC_INTPA-2024-PC-37034,XI-IATI-EC_INTPA-2022-ACT-61496
XI-IATI-EC_INTPA-2023-PC-30334,XI-IATI-EC_INTPA-2021-ACT-61090
XI-IATI-EC_INTPA-2023-PC-26203,XI-IATI-EC_INTPA-2022-ACT-61496
XI-IATI-EC_INTPA-2023-PC-31561,XI-IATI-EC_INTPA-2022-ACT-61496
XI-IATI-EC_INTPA-2026-PC-88130,XI-IATI-EC_INTPA-2023-ACT-61325
XI-IATI-EC_INTPA-2022-PC-23195,XI-IATI-EC_INTPA-2021-ACT-61090
XI-IATI-EC_INTPA-2019-PCC-414050,XI-IATI-EC_INTPA-2016-ACT-D-37486-02
XI-IATI-EC_INTPA-2019-PCC-413820,XI-IATI-EC_INTPA-2016-ACT-D-37486-02
XI-IATI-EC_INTPA-2020-PCC-418161,XI-IATI-EC_INTPA-2016-ACT-D-37486-02
XI-IATI-EC_INTPA-2026-PC-75961,XI-IATI-EC_INTPA-2023-ACT-61325
XI-IATI-EC_INTPA-2023-PC-28008,XI-IATI-EC_INTPA-2017-ACT-D-40134-00
XI-IATI-EC_INTPA-2024-PC-27747,XI-IATI-EC_INTPA-2022-ACT-61240
XI-IATI-EC_INTPA-2023-PC-26837,XI-IATI-EC_INTPA-2023-ACT-61325
XI-IATI-EC_INTPA-2021-PCC-425462,XI-IATI-EC_INTPA-2018-ACT-D-39797-00
XI-IATI-EC_INTPA-2023-PC-23354,XI-IATI-EC_INTPA-2020-ACT-D-40387-00
XI-IATI-EC_INTPA-2022-PC-15588,XI-IATI-EC_INTPA-2021-ACT-60903
