iatiidentifier,year,commitment_usd,disbursement_usd,n_disb_tx
XI-IATI-EC_INTPA-2019-PCC-408616,2021,704491.02,0,0
XI-IATI-EC_INTPA-2022-PC-16749,2022,530162.8200000001,106032.564,1
XI-IATI-EC_INTPA-2023-PC-21484,2023,973275.48,194655.096,1
XI-IATI-EC_INTPA-2023-PC-32262,2023,101341.0845,0,0
XI-IATI-EC_INTPA-2019-PCC-412775,2019,1382661.9,581094,1
XI-IATI-EC_INTPA-2019-PCC-412775,2023,0,180992.5506,1
XI-IATI-EC_INTPA-2019-PCC-412775,2022,0,420495.57,1
XI-IATI-EC_INTPA-2023-PC-18143,2023,206385.10506,0,0
XI-IATI-EC_INTPA-2020-ACT-D-42454-00,2020,11394000,0,0
XI-IATI-EC_INTPA-2019-ACT-D-41517-00,2019,20509200,0,0
XI-IATI-EC_INTPA-2015-ACT-D-38302-01,2015,36232920,0,0
XI-IATI-EC_INTPA-2022-ACT-61483,2022,11963700,0,0
XI-IATI-EC_INTPA-2021-ACT-61633,2023,11394000,0,0
XI-IATI-EC_INTPA-2015-ACT-D-38302-02,2015,36232920,0,0
XI-IATI-EC_INTPA-2020-PCC-416581,2020,3418200,1299209.9652,1
XI-IATI-EC_INTPA-2020-PCC-416581,2022,0,1178189.7336000002,1
XI-IATI-EC_INTPA-2020-PCC-416581,2023,0,940790.0466,1
XI-IATI-EC_INTPA-2021-PCC-428224,2021,21078900,0,0
XI-IATI-EC_INTPA-2021-ACT-60940,2021,20395260,0,0
XI-IATI-EC_INTPA-2022-PC-24334,2022,13444920,0,0
XI-IATI-EC_INTPA-2021-PCC-430941,2021,6836400,0,0
XI-IATI-EC_INTPA-2018-ACT-D-40855-00,2019,9798840,0,0
XI-IATI-EC_INTPA-2018-ACT-D-40855-00,2018,12533400,0,0
XI-IATI-EC_INTPA-2018-ACT-D-41630-00,2018,2985228,0,0
XI-IATI-EC_INTPA-2022-ACT-61489,2022,14812200,0,0
XI-IATI-EC_INTPA-2018-ACT-D-39315-00,2018,16863120,0,0
XI-IATI-EC_INTPA-2019-ACT-D-41940-00,2019,5697000,0,0
XI-IATI-EC_INTPA-2022-PCC-431645,2022,901379.34,180275.868,1
XI-IATI-EC_INTPA-2022-PCC-431645,2023,90137.934,0,0
XI-IATI-EC_INTPA-2016-ACT-D-39312-00,2016,18230400,0,0
XI-IATI-EC_INTPA-2020-ACT-D-38561-00,2020,22788000,0,0
XI-IATI-EC_INTPA-2023-ACT-61606,2023,14584320,0,0
XI-IATI-EC_INTPA-2023-ACT-61910,2023,25636500,0,0
XI-IATI-EC_INTPA-2021-ACT-61102,2021,68364000,0,0
XI-IATI-EC_INTPA-2022-PC-17800,2022,68364000,0,0
XI-IATI-EC_INTPA-2019-ACT-D-41264-00,2019,56970000,0,0
XI-IATI-EC_INTPA-2019-ACT-D-41264-00,2023,-3133350,0,0
XI-IATI-EC_INTPA-2023-ACT-61846,2023,45576000,0,0
XI-IATI-EC_INTPA-2021-PCC-429840,2021,410184,186524.3376,1
XI-IATI-EC_INTPA-2021-PCC-429840,2023,0,113885.76456,1
XI-IATI-EC_INTPA-2023-PC-28421,2023,41018400,0,0
XI-IATI-EC_INTPA-2022-PC-21817,2023,0,1533192.215598,1
XI-IATI-EC_INTPA-2022-PC-21817,2022,2050920,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38386-00,2020,-6557247,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38386-00,2019,56970000,0,0
XI-IATI-EC_INTPA-2016-ACT-D-38386-00,2016,131031000,0,0
XI-IATI-EC_INTPA-2019-ACT-D-40939-00,2019,41018400,0,0
XI-IATI-EC_INTPA-2019-PCC-413782,2019,56970000,0,0
XI-IATI-EC_INTPA-2019-PCC-409671,2019,37600200,0,0
