iatiidentifier,finance_type,finance_type_name,flow_type,flow_type_name,tied_status,collaboration_type,collaboration_type_name,hierarchy
XI-IATI-CWSEC-Q0603,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q0803,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q1001,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-R11P04,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-R11P05,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-R11P06,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-R11P07,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-R11P09,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-R12P01,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-R21P01,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-R22P01,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-R31P01,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-R32P01,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-R43P01,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q1301,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q1302,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-Q1401,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-R11P03,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-R32P02,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-R44P01,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XI-IATI-CWSEC-R71P03,4,Population,40,Non flow,5,2,Multilateral (inflows),1
XM-DAC-6-4-010152-01-5,110,Standard grant,10,ODA,5,8,"Bilateral, triangular co-operation",1
XM-DAC-6-4-009659-01-6,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-011598-01-6,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-011835-01-4,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-011764-02-3,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-011389-02-2,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-010081-01-3,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-013015-01-0,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-011755-03-0,110,Standard grant,10,ODA,5,1,Bilateral,1
BJ-IFU-4201710012551-RGS0123375-29295,110,Standard grant,10,ODA,5,,,0
BJ-IFU-6201501755307-RSG0123375-29295,110,Standard grant,10,ODA,5,,,0
BJ-IFU-5200801335602-RSG0123375-29295,110,Standard grant,10,ODA,5,,,0
XM-DAC-6-4-010718-02-4,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-010418-01-5,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-012316-01-0,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-3-1-185092-24540,110,Standard grant,10,ODA,,1,Bilateral,2
XM-DAC-3-1-187132-24323,110,Standard grant,10,ODA,,1,Bilateral,2
XM-DAC-3-1-191966-24982,110,Standard grant,10,ODA,,1,Bilateral,2
XM-DAC-3-1-107049-16394,110,Standard grant,10,ODA,,1,Bilateral,2
XM-DAC-3-1-114412-14709,110,Standard grant,10,ODA,,1,Bilateral,2
XM-DAC-3-1-144397-20541,110,Standard grant,10,ODA,,1,Bilateral,2
XM-DAC-3-1-160285-21566,110,Standard grant,10,ODA,,1,Bilateral,2
XM-DAC-3-1-172859-23033,110,Standard grant,10,ODA,,1,Bilateral,2
XM-DAC-3-1-174458-24297,110,Standard grant,10,ODA,,1,Bilateral,2
XM-DAC-3-1-204943-27743,110,Standard grant,10,ODA,,1,Bilateral,2
XM-DAC-3-1-209288-26075,110,Standard grant,10,ODA,,1,Bilateral,2
XM-DAC-3-1-209288-26078,110,Standard grant,10,ODA,,1,Bilateral,2
XM-DAC-3-1-229249-29282,110,Standard grant,10,ODA,,1,Bilateral,2
XM-DAC-3-1-255454-30798,110,Standard grant,10,ODA,,1,Bilateral,2
XM-DAC-3-1-255454-31740,110,Standard grant,10,ODA,,1,Bilateral,2
XM-DAC-3-1-255454-31741,110,Standard grant,10,ODA,,1,Bilateral,2
XM-DAC-6-4-010693-01-2,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-010084-02-3,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-010496-02-1,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-3-1-49056-19443,110,Standard grant,10,ODA,,1,Bilateral,2
XM-DAC-6-4-010680-01-4,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-012620-01-0,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-011068-01-3,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-010733-01-5,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-011649-01-3,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-010997-01-1,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-009147-01-4,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-008465-03-0,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-010997-03-3,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-011097-01-5,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-010049-01-2,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-009696-03-5,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-012041-01-3,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-010497-01-2,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-011023-01-4,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-012586-01-0,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-010408-01-6,110,Standard grant,10,ODA,5,1,Bilateral,1
XM-DAC-6-4-010519-02-5,110,Standard grant,10,ODA,5,1,Bilateral,1
