iatiidentifier,country,percentage
BJ-IFU-4201710012551-RGS0123375-29295,BJ,100
BJ-IFU-6201501755307-RSG0123375-29295,BJ,100
BJ-IFU-5200801335602-RSG0123375-29295,BJ,100
XM-DAC-6-4-010718-02-4,ET,100
XM-DAC-6-4-010418-01-5,ET,100
XM-DAC-6-4-012316-01-0,ET,100
XM-DAC-3-1-185092-24540,TZ,100
XM-DAC-3-1-187132-24323,MZ,100
XM-DAC-3-1-191966-24982,BT,100
XM-DAC-3-1-107049-16394,BF,100
XM-DAC-3-1-114412-14709,NP,100
XM-DAC-3-1-144397-20541,BJ,100
XM-DAC-3-1-160285-21566,BT,100
XM-DAC-3-1-172859-23033,BF,100
XM-DAC-3-1-174458-24297,GH,100
XM-DAC-3-1-204943-27743,UG,100
XM-DAC-3-1-209288-26075,BF,100
XM-DAC-3-1-209288-26078,BF,100
XM-DAC-3-1-229249-29282,TZ,100
XM-DAC-3-1-255454-30798,BF,100
XM-DAC-3-1-255454-31740,BF,100
XM-DAC-3-1-255454-31741,BF,100
XM-DAC-6-4-010693-01-2,ML,100
XM-DAC-6-4-010084-02-3,ML,100
XM-DAC-6-4-010496-02-1,LB,100
XM-DAC-3-1-49056-19443,MZ,100
XM-DAC-6-4-010680-01-4,SL,100
XM-DAC-6-4-012620-01-0,SO,100
XM-DAC-6-4-011068-01-3,SN,100
XM-DAC-6-4-010733-01-5,SN,100
XM-DAC-6-4-011649-01-3,MZ,100
XM-DAC-6-4-010997-01-1,MZ,100
XM-DAC-6-4-009147-01-4,MZ,100
XM-DAC-6-4-008465-03-0,MZ,100
XM-DAC-6-4-010997-03-3,MZ,100
XM-DAC-6-4-011097-01-5,MZ,100
XM-DAC-6-4-010049-01-2,MZ,100
XM-DAC-6-4-009696-03-5,SV,100
XM-DAC-6-4-012041-01-3,SV,100
XM-DAC-6-4-010497-01-2,SV,100
XM-DAC-6-4-011023-01-4,SV,100
XM-DAC-6-4-012586-01-0,UA,100
XM-DAC-6-4-010408-01-6,VN,100
XM-DAC-6-4-010519-02-5,VN,100
XM-DAC-6-4-009614-01-0,VN,100
XM-DAC-6-4-010607-01-5,TN,100
XM-DAC-6-4-010744-01-6,TN,100
XM-DAC-6-4-010419-01-0,TN,100
XI-IATI-EC_INTPA-2023-ACT-61831,AW,0
XI-IATI-EC_INTPA-2021-PCC-427597,BB,0
XI-IATI-EC_INTPA-2023-PC-23134,AO,0
XI-IATI-EC_INTPA-2022-ACT-61306,AO,0
XI-IATI-EC_INTPA-2023-PC-23130,AO,0
XI-IATI-EC_INTPA-2025-PC-55044,AO,0
XI-IATI-EC_INTPA-2023-PC-23139,AO,0
XI-IATI-EC_INTPA-2023-ACT-61724,BD,0
XI-IATI-EC_INTPA-2022-PC-21502,BD,0
XI-IATI-EC_INTPA-2018-ACT-D-40701-00,BD,0
XI-IATI-EC_INTPA-2018-ACT-D-40643-00,BD,0
XI-IATI-EC_INTPA-2017-ACT-D-39656-00,BD,0
XI-IATI-EC_INTPA-2021-ACT-62576,BD,0
XI-IATI-EC_INTPA-2021-ACT-61116,BD,0
XI-IATI-EC_INTPA-2019-PCC-410060,BD,0
XI-IATI-EC_INTPA-2018-PCC-404409,BD,0
XI-IATI-EC_INTPA-2025-PC-36947,BD,0
XI-IATI-EC_INTPA-2025-PC-26320,BD,0
XI-IATI-EC_INTPA-2022-ACT-60736,BL,0
XI-IATI-EC_INTPA-2023-PC-25058,BL,0
XI-IATI-EC_INTPA-2008-ACT-D-20972-01,BF,0
XI-IATI-EC_INTPA-2021-ACT-61083,BF,0
XI-IATI-EC_INTPA-2016-ACT-D-38574-01,BF,0
XI-IATI-EC_INTPA-2020-PCC-417520,BF,0
XI-IATI-EC_INTPA-2023-PC-27358,BF,0
XI-IATI-EC_INTPA-2021-PCC-417549,BF,0
XI-IATI-EC_INTPA-2016-ACT-D-38564-01,BF,0
XI-IATI-EC_INTPA-2016-ACT-D-38569-00,BF,0
XI-IATI-EC_INTPA-2016-ACT-D-38575-00,BF,0
XI-IATI-EC_INTPA-2022-PC-21515,BF,0
XI-IATI-EC_INTPA-2019-ACT-D-42209-00,BF,0
XI-IATI-EC_INTPA-2019-PCC-407596,BF,0
XI-IATI-EC_INTPA-2019-PCC-404038,BF,0
XI-IATI-EC_INTPA-2021-PCC-422434,BF,0
XI-IATI-EC_INTPA-2018-PCC-383693,BF,0
XI-IATI-EC_INTPA-2018-PCC-397536,BF,0
XI-IATI-EC_INTPA-2023-PC-25538,BO,0
XI-IATI-EC_INTPA-2019-ACT-D-40019-00,BO,0
XI-IATI-EC_INTPA-2020-ACT-D-38966-00,BO,0
XI-IATI-EC_INTPA-2020-ACT-D-40118-00,BO,0
XI-IATI-EC_INTPA-2019-PCC-410047,BO,0
XI-IATI-EC_INTPA-2014-ACT-D-25027-00,BO,0
XI-IATI-EC_INTPA-2023-ACT-60734,BO,0
XI-IATI-EC_INTPA-2019-PCC-409406,BO,0
XI-IATI-EC_INTPA-2021-PCC-428633,BO,0
XI-IATI-EC_INTPA-2024-PC-25551,BO,0
XI-IATI-EC_INTPA-2021-PCC-428501,BO,0
XI-IATI-EC_INTPA-2023-ACT-61699,BJ,0
XI-IATI-EC_INTPA-2022-ACT-61508,BJ,0
XI-IATI-EC_INTPA-2024-PC-26908,BJ,0
XI-IATI-EC_INTPA-2023-PC-25147,BJ,0
XI-IATI-EC_INTPA-2023-PC-41431,BJ,0
XI-IATI-EC_INTPA-2023-PC-25043,BJ,0
XI-IATI-EC_INTPA-2024-PC-25155,BJ,0
XI-IATI-EC_INTPA-2023-PC-25042,BJ,0
XI-IATI-EC_INTPA-2022-PC-20222,BT,0
XI-IATI-EC_INTPA-2023-PC-27590,BT,0
XI-IATI-EC_INTPA-2022-ACT-60987,BT,0
XI-IATI-EC_INTPA-2021-ACT-61078,BT,0
XI-IATI-EC_INTPA-2024-PC-27708,BT,0
XI-IATI-EC_INTPA-2023-PC-27690,BT,0
XI-IATI-EC_INTPA-2023-PC-27689,BT,0
XI-IATI-EC_INTPA-2023-PC-18126,CF,0
XI-IATI-EC_INTPA-2020-ACT-D-42401-00,CF,0
XI-IATI-EC_INTPA-2022-PCC-436209,CF,0
XI-IATI-EC_INTPA-2023-PC-25426,CF,0
XI-IATI-EC_INTPA-2023-ACT-62014,CI,0
XI-IATI-EC_INTPA-2024-PC-37405,CI,0
XI-IATI-EC_INTPA-2021-PC-1116,CM,0
XI-IATI-EC_INTPA-2024-PC-36292,CM,0
XI-IATI-EC_INTPA-2017-ACT-D-40031-01,CM,0
XI-IATI-EC_INTPA-2024-ACT-62007,CM,0
XI-IATI-EC_INTPA-2022-ACT-D-44510-00,CM,0
XI-IATI-EC_INTPA-2022-PC-21486,CM,0
XI-IATI-EC_INTPA-2026-PC-83853,CM,0
XI-IATI-EC_INTPA-2021-PC-7879,CM,0
XI-IATI-EC_INTPA-2019-PCC-408616,CM,0
XI-IATI-EC_INTPA-2022-PC-16749,CM,0
XI-IATI-EC_INTPA-2023-PC-21484,CM,0
XI-IATI-EC_INTPA-2025-PC-36398,CM,0
XI-IATI-EC_INTPA-2023-PC-32262,CM,0
XI-IATI-EC_INTPA-2019-PCC-412775,CM,0
XI-IATI-EC_INTPA-2023-PC-18143,CM,0
XI-IATI-EC_INTPA-2020-ACT-D-42454-00,CO,0
XI-IATI-EC_INTPA-2019-ACT-D-41517-00,CO,0
XI-IATI-EC_INTPA-2015-ACT-D-38302-01,CO,0
XI-IATI-EC_INTPA-2022-ACT-61483,CO,0
XI-IATI-EC_INTPA-2021-ACT-61633,CO,0
XI-IATI-EC_INTPA-2015-ACT-D-38302-02,CO,0
XI-IATI-EC_INTPA-2024-PC-53145,CO,0
