iatiidentifier,budget_orig,n_budget_lines,budget_ccy
44000-P174315,-199953133.86,4,USD
44000-P174346,-55435000,22,USD
44000-P174347,-180390392.26,4,USD
44000-P174367,-551049236.58,4,USD
44000-P174376,-143714769.92,30,USD
44000-P174388,-150877261.74,26,USD
44000-P174440,-922395795.44,18,USD
44000-P174447,-24152993.16,26,USD
44000-P174498,-27655001.84,4,USD
44000-P174527,-46721250,24,USD
44000-P174531,-216820119.44,4,USD
44000-P174553,-669426881.06,4,USD
44000-P174683,-61355502,4,USD
44000-P174754,-57562480.1,4,USD
44000-P174786,-435346182.7,4,USD
44000-P174889,-195322413,4,USD
44000-P174892,-449563130.72,4,USD
44000-P174911,-503398750,4,USD
44000-P174927,-46243750,18,USD
44000-P175008,-620107408.98,12,USD
44000-P175072,-276937598,4,USD
44000-P175126,-1055843676.42,14,USD
44000-P175139,-2503543575.58,4,USD
44000-P175191,-185064437.7,4,USD
44000-P175249,-214249320,4,USD
44000-P175251,-1272885000,4,USD
44000-P175256,-483740111.58,4,USD
44000-P175293,-601937357.9,4,USD
44000-P175317,-89733264.28,4,USD
44000-P175342,-148356540,4,USD
44000-P175360,-982864732.3,4,USD
44000-P175490,-143915616.32,4,USD
44000-P175492,-155350534.96,4,USD
44000-P175543,-174384969.84,4,USD
44000-P175570,-76726929.26,12,USD
44000-P175640,-264202233.06,4,USD
44000-P175742,-612920314.64,4,USD
44000-P175758,-67407103.68,4,USD
44000-P175801,-736522919.6,4,USD
44000-P175847,-56996450,4,USD
44000-P175874,-641427780.38,4,USD
44000-P175930,-340910605.12,4,USD
44000-P175934,-321464034.92,4,USD
44000-P175979,-466387026.44,4,USD
44000-P176137,-262144800,12,USD
44000-P176148,-110431430.84,4,USD
44000-P176278,-182865490.78,4,USD
44000-P176353,-676314719.54,4,USD
44000-P176387,-392355636.54,12,USD
44000-P176420,-54626568.36,4,USD
44000-P176447,-771640524.62,12,USD
44000-P176498,-193705592.36,4,USD
44000-P176505,-737725419.6,4,USD
44000-P176513,-193707929.56,4,USD
44000-P176650,-458074928.5,4,USD
44000-P176663,-47699500,4,USD
44000-P176717,-381000197.58,4,USD
44000-P176756,-351801461.78,4,USD
44000-P176762,-569767104,4,USD
44000-P176788,-1160973290.82,4,USD
44000-P176810,-261049617.08,4,USD
44000-P176881,-281865649.58,4,USD
44000-P176891,-936433033.92,4,USD
44000-P176903,-1284646174.4,4,USD
44000-P176930,-19111104,4,USD
44000-P176937,-833060127.32,4,USD
44000-P176983,-1227513398.66,4,USD
44000-P176993,-108882176,4,USD
44000-P177001,-172980555.56,4,USD
44000-P177029,-958654426.42,4,USD
44000-P177125,-793842087.1,4,USD
44000-P177410,-299201163.84,4,USD
44000-P177460,-486006840,4,USD
44000-P177632,-584856459.22,4,USD
44000-P177712,-101675160.56,4,USD
