donor_ref,donor,country,year,commit_year,disb_year,cum_commit,total_commit,s1_share,s2_hhi,s2_hhi_net,s3_n_donors,n_activities
44000,EN: World Bank,EC,2019,500000000,500000000,500000000,1401156739.3892,0.3568480141757465,0.539924423687599,0.41258391846642517,3,1
44000,EN: World Bank,EC,2020,1000000000,1000000000,1500000000,2680000000,0.5597014925373134,0.5071285364223657,0.1938627756738694,2,2
44000,EN: World Bank,EC,2022,1200000000,1200000000,2700000000,4815000000,0.5607476635514018,0.5073805572539085,0.19294261507555238,2,2
44000,EN: World Bank,EC,2023,500000000,500000000,3200000000,5815000000,0.5503009458297506,0.505060370302735,0.20222923932161685,2,2
44000,EN: World Bank,EG,2015,0,100000000,0,497487192.664073,0,0.9935166731214158,0.9935166731214158,3,1
44000,EN: World Bank,EG,2017,1150000000,0,1150000000,2139080874.8519192,0.5376140815992337,0.5028293402537278,0.21380043951994027,3,1
44000,EN: World Bank,EG,2018,0,1150000000,1150000000,2639081369.162484,0.4357576895648935,0.5082541489000812,0.3183693848851471,2,1
44000,EN: World Bank,EG,2021,360000000,0,1510000000,3259323272.778805,0.4632863553643814,0.5026957834048609,0.288061536338049,2,1
44000,EN: World Bank,EG,2022,0,360000000,1510000000,3623907972.3002357,0.4166772477507325,0.5138853620847856,0.3402654332916603,2,1
44000,EN: World Bank,ET,2018,1200000000,794480104,1200000000,9044606899.055492,0.13267574958125744,0.740287391841869,0.7226845373149204,3,1
44000,EN: World Bank,ET,2019,0,397722768,1200000000,9134423884.116941,0.13137117515277302,0.7261348437108974,0.7088764580498769,5,1
44000,EN: World Bank,ET,2020,750000000,747401494,1950000000,10044089095.705317,0.19414403649941608,0.6490441971585135,0.6113522902502269,4,1
44000,EN: World Bank,FJ,2016,50000000,50000000,50000000,50000000,1,1,NA,1,1
44000,EN: World Bank,FJ,2019,64000000,0,114000000,194000000,0.5876288659793815,0.5153576363056648,0.17004995217345092,2,1
44000,EN: World Bank,FJ,2020,0,63730093,114000000,416788000,0.27352035087382554,0.529123880740946,0.45431049839880533,3,1
44000,EN: World Bank,FJ,2021,145000000,134537736,259000000,259000000,1,1,NA,1,1
44000,EN: World Bank,FJ,2022,100000000,98721956,359000000,789000000,0.4550063371356147,0.504048859395908,0.29701809256233935,2,1
44000,EN: World Bank,GA,2017,200000000,199231706,200000000,781753884.6254511,0.2558349935105506,0.6192331007879857,0.5537815568834422,2,1
