iatiidentifier,reportingorg_ref,reportingorg_narrative,url,format,category_code,domain
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-covid-19_crisis_response_budget_support_program_-_project_completion_report.pdf#page=2&zoom=auto,-13,789",application/pdf,A07,www.afdb.org
46002-P-SC-K00-015,XM-DAC-46002,African Development Bank,"https://www.afdb.org/sites/all/libraries/pdf.js/web/viewer.html?file=https%3A%2F%2Fwww.afdb.org%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2Fprojects-and-operations%2Fseychelles_-covid-19_crisis_response_budget_support_program_-_project_completion_report.pdf#page=2&zoom=auto,-13,789",application/pdf,A08,www.afdb.org
DE-1-201265248,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.kfw-entwicklungsbank.de/ipfz/Projektdatenbank/Beteiligung-Am-Gemeinschaftlichen-Programm-Fuer-Makrooekonomische-Unterstuetzung-Vii-30004.htm,text/html,A12,www.kfw-entwicklungsbank.de
DE-1-201265248,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P/Mosamik_GBS_2016_D.pdf,application/pdf,A07,www.kfw-entwicklungsbank.de
DE-1-201265248,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.bmz.de/de/laender/mosambik,text/html,B03,www.bmz.de
DE-1-201265248,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.bmz.de/en/countries/mozambique,text/html,B03,www.bmz.de
DE-1-201265248,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.kfw-entwicklungsbank.de/PDF/Evaluierung/Ergebnisse-und-Publikationen/PDF-Dokumente-L-P_EN/Mosambik_GBS_2016_E.pdf,application/pdf,A07,www.kfw-entwicklungsbank.de
DE-1-201265248,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.gtai.de/KfW-Ausschreibungen,text/html,A10,www.gtai.de
DE-1-201265248,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.gtai.de/kfw-tender,text/html,A10,www.gtai.de
DE-1-201265248,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.gtai.de/KfW-Ausschreibungen,text/html,A11,www.gtai.de
DE-1-201265248,DE-1,"DE: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)",https://www.gtai.de/kfw-tender,text/html,A11,www.gtai.de
