iatiidentifier,commitment_usd_full,disbursement_usd_full,n_disb_years_full
44000-P179079,500000000.00000006,507698759,1
44000-P179086,100000000,101254740,1
44000-P179112,100000000,100000000,1
44000-P179141,500000000,500000000,1
44000-P179182,135238245,135238245,1
44000-P179214,750000000,750000000,1
44000-P179263,48000000,24402420,1
44000-P179265,25000000,25706112,1
44000-P179294,150000000,145270320,1
44000-P179297,650000000,638304960,1
44000-P179307,75000000.00000001,74683712,2
44000-P179361,600000000,600000000,1
44000-P179367,350000000,350000000,1
44000-P179512,500000000,500000000,1
44000-P179513,500000000,500000000,1
44000-P179539,40000000,40301785,1
44000-P179763,19952908.000000004,19541211,1
44000-P179808,500000000,495624384,1
44000-P179813,25000000,5071404,1
44000-P179817,150000000,150000000,1
44000-P179820,11500000,7466872,1
44000-P179849,100000000,97039605,1
44000-P179861,160000000,0,1
44000-P179909,270300000,145300000,1
44000-P179944,100000000,103465740,1
44000-P180017,200000000,214697282,1
44000-P180033,1000000000,1010108666,2
44000-P180050,65000000.00000001,65000000.00000001,1
44000-P180093,80000000,82486971,2
44000-P180120,10000000,10000425,1
44000-P180196,125000000,125000000,1
44000-P180216,35000000,35747562,1
44000-P180234,310600000,298451010,1
44000-P180286,230000000,198193300,2
44000-P180288,100000000,99107284,1
44000-P180319,500000000,500000000,1
44000-P180336,750000000,782322527,1
44000-P180339,1000000000,1000000000,1
44000-P180398,80000000,81797918,1
44000-P180439,500000000,489831228,1
44000-P180470,800000000,800000000,1
44000-P180496,700000000,700000000,3
44000-P180497,478177027,471004122,1
44000-P180504,750000000,750000000,2
44000-P180544,75000000,81753820,1
44000-P180549,200000000,200251314,1
44000-P180554,500000000,0,1
44000-P180566,750000000,739733661,2
44000-P180585,500000000,500000000,2
44000-P180587,100000000,103421195,1
44000-P180679,120000000,133970937.00000001,1
44000-P180718,300000000,300000000,1
44000-P180749,275000000,275293305,1
44000-P180927,700000000,700000000,1
44000-P181011,125000000,127766016,1
44000-P181023,1500000000,1500000000,1
44000-P181032,1500000000,1500000000,1
44000-P181080,750000000,753490972,2
44000-P181127,750000000,706651936,1
44000-P181146,263824069,260523492,1
44000-P181148,360000000,360000000,1
44000-P181195,1500000000,1500000000,1
44000-P181238,200000000,185800020,1
44000-P181256,200000000,0,1
44000-P181263,500000000,0,1
44000-P181269,20000000,19854686,1
44000-P181306,350000000,350000000,1
44000-P181310,25000000,25004020,1
44000-P181344,150000000,139364732,1
44000-P181372,200000000,0,1
44000-P181389,800000000,800000000,1
44000-P181432,20000000,0,0
44000-P181457,150000000,142762800,1
44000-P181479,40000000,41278045,1
44000-P181501,81555494,81555494,1
44000-P181517,650000000,628875270,1
44000-P181591,1500000000,1515063010.0000002,1
44000-P181603,141000000,0,0
44000-P500536,40000000,20540681,1
44000-P500557,400000000,400000000,1
44000-P500567,10000000.000000002,10529596.000000002,1
44000-P500609,125000000,95019506,1
44000-P500614,277486911,263278639,1
44000-P500689,1000000000,1025656260,1
44000-P500912,1200000000,1198137288,1
44000-P501015,49999999.99999999,49841428,1
44000-P501037,800000000,800000000,1
44000-P501661,1500000000,1500000000,1
44000-P501988,125000000,127109417,2
