iatiidentifier,year,interrupted_flag,balance_owed,balance_share,disbursement_usd,commitment_usd,donor_ref,donor,x1_donor_type,modality,recipient_main,status_code,status_name,finance_type,flow_type,collaboration_type,finance_type_name,flow_type_name,collaboration_type_name,hierarchy,log_commitment,planned_duration_days,y2_early_days,y1_gap_full,s1_share,s2_hhi_net,s3_n_donors,cum_commit,disb_year,voice_account,corruption_ctrl,pol_stability,aid_dependence,gdp_pc,population,region,income_group,coup,coup_attempt,election_year,single_donor,log_gdp_pc,log_pop,net_degree,net_between,net_eigen,net_peers,net_peer_str
44000-P130012,2014,0,-101760555,NA,101760555,0,44000,EN: World Bank,Multilateral,A02_sector,NG,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,18.420680743952367,866,0,-0.01760555000000008,1,NA,1,200000000,299757307,-0.6329701,-1.29811949999999,-2.18554969999999,0.446576936763396,3088.72131316169,185896915,Sub-Saharan Africa,Lower middle income,0,0,0,1,8.035512469736158,19.040702857610455,40,0.817440095789378,1,10,31
44000-P130048,2015,0,-2000000000,NA,2000000000,0,44000,EN: World Bank,Multilateral,A02_sector,ID,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,21.41641301750636,1345,0,0,0.29411764705882354,0.4982698961937717,3,500000000,2000000000,0.0861197,-0.5229666,-0.5390218,-0.0034191550405382,3288.22269725538,261799249,East Asia & Pacific,Upper middle income,0,0,0,0,8.09810248419129,19.383088542833978,49,0.7217810348079607,1,11,60
44000-P130051,2014,0,-408105000,NA,408105000,0,44000,EN: World Bank,Multilateral,A02_sector,RO,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,21.01092290908569,881,0,-0.02763819095477382,1,NA,1,1034800000,408105000,0.4298763,-0.2306942,0.2061238,NA,10031.7710755404,19908979,Europe & Central Asia,High income,0,0,1,1,9.213512443188533,16.80668139396204,40,0.817440095789378,1,10,31
44000-P130847,2014,0,1436403,0.02872806,48563597,50000000,44000,EN: World Bank,Multilateral,A02_sector,MK,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,17.72753356339242,413,0,0.02872806000000005,1,NA,1,50000000,48563597,-0.1806253,-0.145443799999999,0.2261526,1.90067498234215,5925.38592218015,1917557,Europe & Central Asia,Upper middle income,0,0,1,1,8.687001098427343,14.46656253798773,40,0.817440095789378,1,10,31
44000-P130972,2020,0,0,NA,0,0,44000,EN: World Bank,Multilateral,A02_sector,CO,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,18.82614585206053,199,0,0,0.5538209207281448,0.19186229174858033,3,7018500000,1350000000,0.0627933,-0.256463899999999,-0.6819314,0.698331914308264,5339.68711357943,50629997,Latin America & Caribbean,Upper middle income,0,0,0,0,8.582922337274953,17.740054784692685,73,0.650701274355751,1,10,98
44000-P131440,2019,0,-260000000,NA,260000000,0,44000,EN: World Bank,Multilateral,A02_sector,UY,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,19.3761921889798,2441,0,0,0,1,2,0,260000000,1.2429696,1.3889225,1.1553614,NA,18315.7350377437,3397206,Latin America & Caribbean,High income,0,0,1,0,9.815515807508543,15.0384638870468,53,0.6409087280099744,1,12,59
44000-P131688,2014,0,-51950,-0.01367105263157894,3851950,3800000,44000,EN: World Bank,Multilateral,A02_sector,KM,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,15.150511624696614,411,0,-0.01367105263157886,0.41195033932376585,0.3458024034214342,2,3800000,3851950,-0.596658599999999,-0.8060681,-0.0153216999999999,6.49419205980213,1615.71709756316,711503,Sub-Saharan Africa,Lower middle income,0,0,0,0,7.387534160366523,13.475134912947286,40,0.817440095789378,1,10,31
44000-P131775,2014,0,3945172,0.0563596,66054828,70000000,44000,EN: World Bank,Multilateral,A02_sector,VN,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,18.064005800013632,587,0,0.05635959999999995,0.9161273973426488,0.00630479853941989,6,520000000,303007730,-1.1673414,-0.361941399999999,-0.0126942,1.87689874659763,2546.38464459903,91679578,East Asia & Pacific,Upper middle income,0,0,0,0,7.842429845710552,18.33381020795327,40,0.817440095789378,1,10,31
44000-P132208,2014,0,-13450216,NA,13450216,0,44000,EN: World Bank,Multilateral,A02_sector,TG,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,16.454567887579532,1197,0,0.03927028571428559,NA,NA,1,0,13450216,-0.883812399999999,-0.791632799999999,-0.3001357,3.27577089750294,921.539748631461,6937644,Sub-Saharan Africa,Lower middle income,0,0,0,1,6.826045910885475,15.752472793578166,40,0.817440095789378,1,10,31
44000-P132510,2014,0,-16103959,NA,16103959,0,44000,EN: World Bank,Multilateral,A02_sector,MU,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,16.523560759066484,431,0,-0.07601473333333342,NA,NA,2,0,16103959,0.8373596,0.4563263,0.8096197,0.323779564651616,10490.3315563853,1261208,Sub-Saharan Africa,Upper middle income,0,0,1,0,9.258209307791263,14.047580549798164,40,0.817440095789378,1,10,31
44000-P132709,2014,0,7492281,0.029969124,242507719,250000000,44000,EN: World Bank,Multilateral,A02_sector,TN,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,19.33697147582652,656,0,0.02996912399999995,1,NA,1,250000000,242507719,0.1393127,0.012509,-0.6013407,1.89980743872399,4458.97895464547,11274288,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0,1,1,8.402675084868743,16.238035292800305,40,0.817440095789378,1,10,31
44000-P132709,2015,0,7492281,0.029969124,0,0,44000,EN: World Bank,Multilateral,A02_sector,TN,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,19.33697147582652,656,0,0.02996912399999995,0.6858505798522979,0.05123862343059449,4,750000000,497634432.99999994,0.1947392,-0.0143711,-0.681206,1.11182323500338,4014.94773686432,11402264,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0,0,0,8.29777960932586,16.24932249013828,49,0.7217810348079607,1,11,60
44000-P132709,2016,0,7492281,0.029969124,0,0,44000,EN: World Bank,Multilateral,A02_sector,TN,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,19.33697147582652,656,0,0.02996912399999995,NA,NA,NA,NA,NA,0.2143651,-0.0577612999999999,-0.8275855,1.49023772076605,3847.80354448809,11528674,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0,0,NA,8.255257756555089,16.26034788129522,40,0.6207013125828162,1,11,41
44000-P132709,2017,0,7492281,0.029969124,0,0,44000,EN: World Bank,Multilateral,A02_sector,TN,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,19.33697147582652,656,0,0.02996912399999995,0.477918554916598,0.1459088257268608,4,1250000000,537364076,0.1035864,-0.0490023999999999,-0.7432926,1.97197984286984,3619.03247319953,11650498,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0,0,0,8.193961996499317,16.27085948384348,38,0.595952151362322,1,11,45
44000-P132709,2018,0,7492281,0.029969124,0,0,44000,EN: World Bank,Multilateral,A02_sector,TN,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,19.33697147582652,656,0,0.02996912399999995,0.6659844133919864,0.10931741579384469,3,1750000000,484523506,0.0853087,0.00133739999999999,-0.5600278,1.93708049744182,3628.10366464236,11765514,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0,0,0,8.196465384322503,16.280683268097043,42,0.5413065850651381,1,8,45
44000-P132709,2019,0,7492281,0.029969124,0,0,44000,EN: World Bank,Multilateral,A02_sector,TN,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,19.33697147582652,656,0,0.02996912399999995,NA,NA,NA,NA,NA,0.1076117,-0.0286669999999999,-0.5613583,2.40119246823005,3528.87213306798,11875081,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0,1,NA,8.168733589827553,16.289952728914347,53,0.6409087280099744,1,12,59
44000-P132709,2020,0,7492281,0.029969124,0,0,44000,EN: World Bank,Multilateral,A02_sector,TN,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,19.33697147582652,656,0,0.02996912399999995,0.4576215551878577,0.14774616063420104,3,1925000000,192713137,0.1060573,-0.019263,-0.4326193,2.37469792485443,3548.65363663803,11974057,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0,0,0,8.174323553248167,16.298252950770117,73,0.650701274355751,1,10,98
44000-P132709,2021,0,7492281,0.029969124,0,0,44000,EN: World Bank,Multilateral,A02_sector,TN,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,19.33697147582652,656,0,0.02996912399999995,0.4376590912148092,0.15727478555778865,4,1925000000,0,-0.0624493999999999,-0.1415165,-0.6668946,2.43554093679102,3906.93926319391,12048622,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0,0,0,8.270509549296639,16.304460854515224,59,0.6934502886604991,1,9,60
44000-P132757,2014,0,-1545.9999999999998,NA,0,-1545.9999999999998,44000,EN: World Bank,Multilateral,A02_sector,NE,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,17.727502642914388,461,0,-0.00275858529545725,1,0,2,70000000,69869002,-0.273428799999999,-0.4434815,-0.9806619,8.08507747950925,565.30989731175,19215909,Sub-Saharan Africa,Low income,0,0,0,0,6.33737407159759,16.771249087653718,40,0.817440095789378,1,10,31
44000-P132786,2014,0,-30555,-0.00152775,20030555,20000000,44000,EN: World Bank,Multilateral,A02_sector,BJ,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,16.811242831518264,421,0,-0.00152774999999993,1,NA,1,20000000,20030555,0.0640877,-0.6075837,0.1371161,4.53217639304836,1204.39918670094,11030004,Sub-Saharan Africa,Lower middle income,0,0,0,1,7.0937361213341354,16.216129753876945,40,0.817440095789378,1,10,31
44000-P133107,2014,0,-25165858,NA,25128243.000000004,-37614.99999999767,44000,EN: World Bank,Multilateral,A02_sector,SL,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,NA,824,0,NA,0.846873599132692,0.02344769464257545,3,30000000.000000004,55058395,-0.3024332,-0.8422333,-0.1346918,12.5121425142911,1117.7586465721,6876385,Sub-Saharan Africa,Low income,0,0,0,0,7.019080750778287,15.74360363577312,40,0.817440095789378,1,10,31
44000-P133664,2015,0,-1757276,-0.01171517333333333,151757276,150000000,44000,EN: World Bank,Multilateral,A02_sector,GH,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,18.82614585206053,1423,0,-0.01171517333333338,0.5457469032736038,0.0783750017466654,4,150000000,151757276,0.3876992,-0.2762732,-0.0228697,3.69231777516219,1722.77282833606,28696068,Sub-Saharan Africa,Lower middle income,0,0,0,0,7.4516903812515745,17.172270667859696,49,0.7217810348079607,1,11,60
44000-P133687,2014,0,1240918,0.04963672,23759082,25000000,44000,EN: World Bank,Multilateral,A02_sector,MZ,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,17.034386382832476,642,0,0.04963671999999997,0.5887941943162408,0.08475049189105227,8,185000000,131832102,-0.3834841,-0.861341399999999,-0.6196453,11.8472671221558,697.142680444123,25788475,Sub-Saharan Africa,Low income,0,0,1,0,6.546990096330548,17.065438244662896,40,0.817440095789378,1,10,31
44000-P133738,2014,1,340000000,1,0,340000000,44000,EN: World Bank,Multilateral,A02_sector,GT,3,Finalisation,NA,NA,2,not declared,not declared,Multilateral (inflows),1,19.644456175574483,621,0,0,0.576271186440678,0.17954610744039068,2,340000000,0,-0.3165549,-0.8707969,-0.730266499999999,0.496733506250192,3689.14510410202,15681725,Latin America & Caribbean,Upper middle income,0,0,0,0,8.213150031087679,16.56800657959068,40,0.817440095789378,1,10,31
