donor_ref,year,net_degree,net_between,net_eigen,net_peers,net_peer_str
XM-DAC-46002,2020,40,0.1802463256784725,0.5253267647916773,6,50
XM-DAC-46004,2020,33,0.2164769486650002,0.3143261299038537,6,33
XM-DAC-6-4,2020,7,0.025481366103468253,0.09456109219681491,7,17
44000,2021,59,0.6934502886604991,1,9,60
CA-3,2021,2,0.002171992192679366,0.009750234828297392,4,4
DE-1,2021,2,0.0038708311314604076,0.01969180904408926,4,4
FI-3,2021,2,0.018348623853211007,0.01981347561049669,3,3
GB-GOV-1,2021,2,1.6989466530750933e-4,0.03884713648185472,3,5
XI-IATI-EC_INTPA,2021,23,0.1480032953768171,0.39397316905421303,7,35
XI-IATI-EC_NEAR,2021,7,0.05653383226109661,0.057877091201856815,6,9
XI-IATI-IADB,2021,15,0.11158417465601839,0.15987164458994035,2,11
XM-DAC-46002,2021,20,0.14708769495580318,0.25215721197567054,5,22
XM-DAC-46004,2021,32,0.2645081105609585,0.431783911016369,5,29
XM-DAC-6-4,2021,4,0.03677211115947487,0.040930628377326445,4,6
44000,2022,62,0.6378585585115697,0.9999999999999999,10,71
CA-3,2022,2,0.007098839585511149,0.018133197542536856,4,4
DE-1,2022,1,0,0.001144504913743886,2,2
FI-3,2022,4,0.012737373014159416,0.04547585787466726,8,10
GB-GOV-1,2022,2,0.0010151783149394526,0.027599080537881925,5,6
NO-BRC-971277882,2022,1,0,0.022597319160790212,5,5
XI-IATI-EC_INTPA,2022,27,0.17891259594909878,0.37989559787498073,9,37
XI-IATI-EC_NEAR,2022,13,0.1665920402645228,0.07490557938136828,8,12
XI-IATI-IADB,2022,19,0.10862260919859583,0.19780757595182796,2,15
XM-DAC-46002,2022,24,0.12510998346812846,0.3147517475621595,5,24
XM-DAC-46004,2022,32,0.2413324249709418,0.38400448341912913,6,30
XM-DAC-5-7,2022,3,0.032387045181927226,9.446834566277758e-4,1,1
XM-DAC-6-4,2022,6,0.03811343950541908,0.04187773242633036,5,7
44000,2023,65,0.6275509997946984,1,10,88
CH-4,2023,2,1.8884080976294982e-4,0.041986630243883084,5,8
DE-1,2023,1,0,0.0033758900392073824,2,2
FI-3,2023,5,0.02942381661155184,0.0477488518463227,8,11
GB-GOV-1,2023,1,0,0.004403125283062238,3,3
NO-BRC-971277882,2023,1,0,0.004403125283062236,3,3
XI-IATI-EC_INTPA,2023,26,0.17461610271232914,0.3279982163607781,9,39
XI-IATI-EC_NEAR,2023,13,0.06828824915368052,0.140840675793312,6,17
XI-IATI-IADB,2023,16,0.07779217233713034,0.1587109886515951,3,13
XM-DAC-46002,2023,32,0.21029884755557243,0.4084191641354237,8,37
XM-DAC-46004,2023,27,0.17540820020712758,0.3305831979003957,8,36
XM-DAC-5-7,2023,8,0.0443892609611066,0.0870557026336688,7,13
XM-DAC-6-4,2023,3,0.0020921908615683256,0.024871370139152332,4,5
XM-DAC-701-8,2023,11,0.03402845398169857,0.15260358980767388,6,21
