iso2,iso3,year,coup,coup_attempt,election_year
AR,ARG,2023,0,0,1
AR,ARG,2024,0,0,0
AR,ARG,2025,0,0,1
ET,ETH,2014,0,0,0
ET,ETH,2015,0,0,1
ET,ETH,2016,0,0,0
ET,ETH,2017,0,0,0
ET,ETH,2018,0,0,0
ET,ETH,2019,0,0,0
ET,ETH,2020,0,0,0
ET,ETH,2021,0,0,1
ET,ETH,2022,0,0,0
ET,ETH,2023,0,0,0
ET,ETH,2024,0,0,0
ET,ETH,2025,0,0,0
IN,IND,2014,0,0,1
IN,IND,2015,0,0,0
IN,IND,2016,0,0,0
IN,IND,2017,0,0,0
IN,IND,2018,0,0,0
IN,IND,2019,0,0,1
IN,IND,2020,0,0,0
IN,IND,2021,0,0,0
IN,IND,2022,0,0,0
IN,IND,2023,0,0,0
IN,IND,2024,0,0,1
IN,IND,2025,0,0,0
KE,KEN,2014,0,0,0
KE,KEN,2015,0,0,0
KE,KEN,2016,0,0,0
KE,KEN,2017,0,0,1
KE,KEN,2018,0,0,0
KE,KEN,2019,0,0,0
KE,KEN,2020,0,0,0
KE,KEN,2021,0,0,0
KE,KEN,2022,0,0,1
KE,KEN,2023,0,0,0
KE,KEN,2024,0,0,0
KE,KEN,2025,0,0,0
KP,PRK,2014,0,0,1
KP,PRK,2015,0,0,0
KP,PRK,2016,0,0,0
KP,PRK,2017,0,0,0
KP,PRK,2018,0,0,0
KP,PRK,2019,0,0,1
KP,PRK,2020,0,0,0
KP,PRK,2021,0,0,0
KP,PRK,2022,0,0,0
KP,PRK,2023,0,0,0
KP,PRK,2024,0,0,0
KP,PRK,2025,0,0,0
KR,KOR,2014,0,0,0
KR,KOR,2015,0,0,0
KR,KOR,2016,0,0,1
KR,KOR,2017,0,0,1
KR,KOR,2018,0,0,0
KR,KOR,2019,0,0,0
KR,KOR,2020,0,0,1
KR,KOR,2021,0,0,0
KR,KOR,2022,0,0,1
KR,KOR,2023,0,0,0
KR,KOR,2024,0,0,1
KR,KOR,2025,0,0,1
XK,XKX,2014,0,0,1
XK,XKX,2015,0,0,0
XK,XKX,2016,0,0,0
XK,XKX,2017,0,0,1
XK,XKX,2018,0,0,0
XK,XKX,2019,0,0,1
XK,XKX,2020,0,0,0
XK,XKX,2021,0,0,1
XK,XKX,2022,0,0,0
XK,XKX,2023,0,0,0
XK,XKX,2024,0,0,0
XK,XKX,2025,0,0,1
LB,LBN,2014,0,0,0
LB,LBN,2015,0,0,0
LB,LBN,2016,0,0,0
LB,LBN,2017,0,0,0
LB,LBN,2018,0,0,1
LB,LBN,2019,0,0,0
LB,LBN,2020,0,0,0
LB,LBN,2021,0,0,0
LB,LBN,2022,0,0,1
LB,LBN,2023,0,0,0
LB,LBN,2024,0,0,0
LB,LBN,2025,0,0,0
NG,NGA,2014,0,0,0
NG,NGA,2015,0,0,1
NG,NGA,2016,0,0,0
NG,NGA,2017,0,0,0
NG,NGA,2018,0,0,0
NG,NGA,2019,0,0,1
NG,NGA,2020,0,0,0
NG,NGA,2021,0,0,0
NG,NGA,2022,0,0,0
NG,NGA,2023,0,0,1
NG,NGA,2024,0,0,0
NG,NGA,2025,0,0,0
PH,PHL,2014,0,0,0
PH,PHL,2015,0,0,0
PH,PHL,2016,0,0,1
PH,PHL,2017,0,0,0
PH,PHL,2018,0,0,0
PH,PHL,2019,0,0,1
PH,PHL,2020,0,0,0
PH,PHL,2021,0,0,0
PH,PHL,2022,0,0,1
PH,PHL,2023,0,0,0
PH,PHL,2024,0,0,0
PH,PHL,2025,0,0,1
TZ,TZA,2014,0,0,0
TZ,TZA,2015,0,0,1
TZ,TZA,2016,0,0,0
TZ,TZA,2017,0,0,0
TZ,TZA,2018,0,0,0
TZ,TZA,2019,0,0,0
TZ,TZA,2020,0,0,1
TZ,TZA,2021,0,0,0
TZ,TZA,2022,0,0,0
TZ,TZA,2023,0,0,0
TZ,TZA,2024,0,0,0
TZ,TZA,2025,0,0,1
TH,THA,2014,1,1,1
TH,THA,2015,0,0,0
TH,THA,2016,0,0,0
TH,THA,2017,0,0,0
TH,THA,2018,0,0,0
TH,THA,2019,0,0,1
TH,THA,2020,0,0,0
TH,THA,2021,0,0,0
TH,THA,2022,0,0,0
TH,THA,2023,0,0,1
TH,THA,2024,0,0,0
TH,THA,2025,0,0,0
UG,UGA,2014,0,0,0
UG,UGA,2015,0,0,0
UG,UGA,2016,0,0,1
UG,UGA,2017,0,0,0
UG,UGA,2018,0,0,0
UG,UGA,2019,0,0,0
UG,UGA,2020,0,0,0
UG,UGA,2021,0,0,1
UG,UGA,2022,0,0,0
UG,UGA,2023,0,0,0
UG,UGA,2024,0,0,0
UG,UGA,2025,0,0,0
VE,VEN,2014,0,0,0
VE,VEN,2015,0,0,1
VE,VEN,2016,0,0,0
VE,VEN,2017,0,0,1
VE,VEN,2018,0,0,1
VE,VEN,2019,0,0,0
VE,VEN,2020,0,0,1
VE,VEN,2021,0,0,0
VE,VEN,2022,0,0,0
VE,VEN,2023,0,0,0
VE,VEN,2024,0,0,1
VE,VEN,2025,0,0,1
BJ,BEN,2014,0,0,0
BJ,BEN,2015,0,0,1
BJ,BEN,2016,0,0,1
BJ,BEN,2017,0,0,0
BJ,BEN,2018,0,0,0
BJ,BEN,2019,0,0,1
BJ,BEN,2020,0,0,0
BJ,BEN,2021,0,0,1
BJ,BEN,2022,0,0,0
BJ,BEN,2023,0,0,1
BJ,BEN,2024,0,0,0
BJ,BEN,2025,0,0,0
BT,BTN,2014,0,0,0
BT,BTN,2015,0,0,0
BT,BTN,2016,0,0,0
BT,BTN,2017,0,0,0
BT,BTN,2018,0,0,1
BT,BTN,2019,0,0,0
BT,BTN,2020,0,0,0
BT,BTN,2021,0,0,0
BT,BTN,2022,0,0,0
BT,BTN,2023,0,0,1
BT,BTN,2024,0,0,1
BT,BTN,2025,0,0,0
BF,BFA,2014,1,1,0
BF,BFA,2015,0,1,1
BF,BFA,2016,0,0,0
BF,BFA,2017,0,0,0
BF,BFA,2018,0,0,0
BF,BFA,2019,0,0,0
BF,BFA,2020,0,0,1
BF,BFA,2021,0,0,0
BF,BFA,2022,1,1,0
BF,BFA,2023,0,0,0
BF,BFA,2024,0,0,0
BF,BFA,2025,0,0,0
KH,KHM,2014,0,0,0
KH,KHM,2015,0,0,0
KH,KHM,2016,0,0,0
KH,KHM,2017,0,0,0
KH,KHM,2018,0,0,1
KH,KHM,2019,0,0,0
KH,KHM,2020,0,0,0
KH,KHM,2021,0,0,0
KH,KHM,2022,0,0,0
KH,KHM,2023,0,0,1
KH,KHM,2024,0,0,0
KH,KHM,2025,0,0,0
ID,IDN,2014,0,0,1
ID,IDN,2015,0,0,0
ID,IDN,2016,0,0,0
ID,IDN,2017,0,0,0
ID,IDN,2018,0,0,0
ID,IDN,2019,0,0,1
ID,IDN,2020,0,0,0
ID,IDN,2021,0,0,0
ID,IDN,2022,0,0,0
ID,IDN,2023,0,0,0
ID,IDN,2024,0,0,1
ID,IDN,2025,0,0,0
MZ,MOZ,2014,0,0,1
MZ,MOZ,2015,0,0,0
MZ,MOZ,2016,0,0,0
MZ,MOZ,2017,0,0,0
MZ,MOZ,2018,0,0,0
MZ,MOZ,2019,0,0,1
MZ,MOZ,2020,0,0,0
MZ,MOZ,2021,0,0,0
MZ,MOZ,2022,0,0,0
MZ,MOZ,2023,0,0,0
MZ,MOZ,2024,0,0,1
MZ,MOZ,2025,0,0,0
NP,NPL,2014,0,0,0
NP,NPL,2015,0,0,0
NP,NPL,2016,0,0,0
NP,NPL,2017,0,0,1
NP,NPL,2018,0,0,0
NP,NPL,2019,0,0,0
NP,NPL,2020,0,0,0
NP,NPL,2021,0,0,0
NP,NPL,2022,0,0,1
NP,NPL,2023,0,0,0
NP,NPL,2024,0,0,0
NP,NPL,2025,0,0,0
NI,NIC,2014,0,0,0
NI,NIC,2015,0,0,0
NI,NIC,2016,0,0,1
NI,NIC,2017,0,0,0
NI,NIC,2018,0,0,0
NI,NIC,2019,0,0,0
NI,NIC,2020,0,0,0
NI,NIC,2021,0,0,1
NI,NIC,2022,0,0,0
NI,NIC,2023,0,0,0
NI,NIC,2024,0,0,0
NI,NIC,2025,0,0,0
NE,NER,2014,0,0,0
NE,NER,2015,0,0,0
NE,NER,2016,0,0,1
NE,NER,2017,0,0,0
NE,NER,2018,0,0,0
NE,NER,2019,0,0,0
NE,NER,2020,0,0,1
NE,NER,2021,0,1,1
NE,NER,2022,0,0,0
NE,NER,2023,1,1,0
NE,NER,2024,0,0,0
NE,NER,2025,0,0,0
ZM,ZMB,2014,0,0,0
ZM,ZMB,2015,0,0,1
ZM,ZMB,2016,0,0,1
ZM,ZMB,2017,0,0,0
ZM,ZMB,2018,0,0,0
ZM,ZMB,2019,0,0,0
ZM,ZMB,2020,0,0,0
ZM,ZMB,2021,0,0,1
ZM,ZMB,2022,0,0,0
ZM,ZMB,2023,0,0,0
ZM,ZMB,2024,0,0,0
ZM,ZMB,2025,0,0,0
ZW,ZWE,2014,0,0,0
ZW,ZWE,2015,0,0,0
ZW,ZWE,2016,0,0,0
ZW,ZWE,2017,1,1,0
ZW,ZWE,2018,0,0,1
ZW,ZWE,2019,0,0,0
ZW,ZWE,2020,0,0,0
ZW,ZWE,2021,0,0,0
ZW,ZWE,2022,0,0,0
ZW,ZWE,2023,0,0,1
ZW,ZWE,2024,0,0,0
ZW,ZWE,2025,0,0,0
GN,GIN,2014,0,0,0
GN,GIN,2015,0,0,1
GN,GIN,2016,0,0,0
GN,GIN,2017,0,0,0
GN,GIN,2018,0,0,0
GN,GIN,2019,0,0,0
GN,GIN,2020,0,0,1
GN,GIN,2021,1,1,0
GN,GIN,2022,0,0,0
GN,GIN,2023,0,0,0
GN,GIN,2024,0,0,0
GN,GIN,2025,0,0,1
CI,CIV,2014,0,0,0
CI,CIV,2015,0,0,1
CI,CIV,2016,0,0,1
CI,CIV,2017,0,0,0
CI,CIV,2018,0,0,0
CI,CIV,2019,0,0,0
CI,CIV,2020,0,0,1
CI,CIV,2021,0,0,1
CI,CIV,2022,0,0,0
CI,CIV,2023,0,0,0
CI,CIV,2024,0,0,0
CI,CIV,2025,0,0,1
MR,MRT,2014,0,0,1
MR,MRT,2015,0,0,0
MR,MRT,2016,0,0,0
MR,MRT,2017,0,0,0
MR,MRT,2018,0,0,1
MR,MRT,2019,0,0,1
MR,MRT,2020,0,0,0
MR,MRT,2021,0,0,0
MR,MRT,2022,0,0,0
MR,MRT,2023,0,0,1
MR,MRT,2024,0,0,1
MR,MRT,2025,0,0,0
CA,CAN,2014,0,0,0
CA,CAN,2015,0,0,1
CA,CAN,2016,0,0,0
CA,CAN,2017,0,0,0
CA,CAN,2018,0,0,0
CA,CAN,2019,0,0,1
CA,CAN,2020,0,0,0
CA,CAN,2021,0,0,1
CA,CAN,2022,0,0,0
CA,CAN,2023,0,0,0
CA,CAN,2024,0,0,0
CA,CAN,2025,0,0,1
AU,AUS,2014,0,0,0
AU,AUS,2015,0,0,0
AU,AUS,2016,0,0,1
AU,AUS,2017,0,0,0
AU,AUS,2018,0,0,0
AU,AUS,2019,0,0,1
AU,AUS,2020,0,0,0
AU,AUS,2021,0,0,0
AU,AUS,2022,0,0,1
AU,AUS,2023,0,0,0
AU,AUS,2024,0,0,0
AU,AUS,2025,0,0,1
BW,BWA,2014,0,0,1
BW,BWA,2015,0,0,0
BW,BWA,2016,0,0,0
BW,BWA,2017,0,0,0
BW,BWA,2018,0,0,0
BW,BWA,2019,0,0,1
BW,BWA,2020,0,0,0
BW,BWA,2021,0,0,0
BW,BWA,2022,0,0,0
BW,BWA,2023,0,0,0
BW,BWA,2024,0,0,1
BW,BWA,2025,0,0,0
BI,BDI,2014,0,0,0
BI,BDI,2015,0,1,1
BI,BDI,2016,0,0,0
BI,BDI,2017,0,0,0
BI,BDI,2018,0,0,0
BI,BDI,2019,0,0,0
BI,BDI,2020,0,0,1
BI,BDI,2021,0,0,0
BI,BDI,2022,0,0,0
BI,BDI,2023,0,0,0
BI,BDI,2024,0,0,0
BI,BDI,2025,0,0,1
CV,CPV,2014,0,0,0
CV,CPV,2015,0,0,0
CV,CPV,2016,0,0,1
CV,CPV,2017,0,0,0
CV,CPV,2018,0,0,0
CV,CPV,2019,0,0,0
CV,CPV,2020,0,0,0
CV,CPV,2021,0,0,1
CV,CPV,2022,0,0,0
CV,CPV,2023,0,0,0
CV,CPV,2024,0,0,0
CV,CPV,2025,0,0,0
CF,CAF,2014,0,0,0
CF,CAF,2015,0,0,1
CF,CAF,2016,0,0,1
CF,CAF,2017,0,0,0
CF,CAF,2018,0,0,0
CF,CAF,2019,0,0,0
CF,CAF,2020,0,0,1
CF,CAF,2021,0,0,1
CF,CAF,2022,0,0,0
CF,CAF,2023,0,0,0
CF,CAF,2024,0,0,0
CF,CAF,2025,0,0,1
CL,CHL,2014,0,0,0
CL,CHL,2015,0,0,0
CL,CHL,2016,0,0,0
CL,CHL,2017,0,0,1
CL,CHL,2018,0,0,0
CL,CHL,2019,0,0,0
CL,CHL,2020,0,0,0
CL,CHL,2021,0,0,1
CL,CHL,2022,0,0,0
CL,CHL,2023,0,0,1
CL,CHL,2024,0,0,0
CL,CHL,2025,0,0,1
CR,CRI,2014,0,0,1
CR,CRI,2015,0,0,0
CR,CRI,2016,0,0,0
CR,CRI,2017,0,0,0
CR,CRI,2018,0,0,1
CR,CRI,2019,0,0,0
CR,CRI,2020,0,0,0
CR,CRI,2021,0,0,0
CR,CRI,2022,0,0,1
CR,CRI,2023,0,0,0
CR,CRI,2024,0,0,0
CR,CRI,2025,0,0,0
TL,TLS,2014,0,0,0
TL,TLS,2015,0,0,0
TL,TLS,2016,0,0,0
TL,TLS,2017,0,0,1
TL,TLS,2018,0,0,1
TL,TLS,2019,0,0,0
TL,TLS,2020,0,0,0
TL,TLS,2021,0,0,0
TL,TLS,2022,0,0,1
TL,TLS,2023,0,0,1
TL,TLS,2024,0,0,0
TL,TLS,2025,0,0,0
EC,ECU,2014,0,0,0
EC,ECU,2015,0,0,0
EC,ECU,2016,0,0,0
EC,ECU,2017,0,0,1
EC,ECU,2018,0,0,0
EC,ECU,2019,0,0,0
EC,ECU,2020,0,0,0
EC,ECU,2021,0,0,1
EC,ECU,2022,0,0,0
EC,ECU,2023,0,0,1
EC,ECU,2024,0,0,0
EC,ECU,2025,0,0,1
FR,FRA,2014,0,0,0
FR,FRA,2015,0,0,0
FR,FRA,2016,0,0,0
FR,FRA,2017,0,0,1
FR,FRA,2018,0,0,0
FR,FRA,2019,0,0,0
FR,FRA,2020,0,0,0
FR,FRA,2021,0,0,0
FR,FRA,2022,0,0,1
FR,FRA,2023,0,0,0
FR,FRA,2024,0,0,1
FR,FRA,2025,0,0,0
DE,DEU,2014,0,0,0
DE,DEU,2015,0,0,0
DE,DEU,2016,0,0,0
DE,DEU,2017,0,0,1
DE,DEU,2018,0,0,0
DE,DEU,2019,0,0,0
DE,DEU,2020,0,0,0
DE,DEU,2021,0,0,1
DE,DEU,2022,0,0,0
DE,DEU,2023,0,0,0
DE,DEU,2024,0,0,0
DE,DEU,2025,0,0,1
GT,GTM,2014,0,0,0
GT,GTM,2015,0,0,1
GT,GTM,2016,0,0,0
GT,GTM,2017,0,0,0
GT,GTM,2018,0,0,0
GT,GTM,2019,0,0,1
GT,GTM,2020,0,0,0
GT,GTM,2021,0,0,0
GT,GTM,2022,0,0,0
GT,GTM,2023,0,0,1
GT,GTM,2024,0,0,0
GT,GTM,2025,0,0,0
IR,IRN,2014,0,0,0
IR,IRN,2015,0,0,0
IR,IRN,2016,0,0,1
IR,IRN,2017,0,0,1
IR,IRN,2018,0,0,0
IR,IRN,2019,0,0,0
IR,IRN,2020,0,0,1
IR,IRN,2021,0,0,1
IR,IRN,2022,0,0,0
IR,IRN,2023,0,0,0
IR,IRN,2024,0,0,1
IR,IRN,2025,0,0,0
IQ,IRQ,2014,0,0,1
IQ,IRQ,2015,0,0,0
IQ,IRQ,2016,0,0,0
